Lottery,Category,Number,Count,Percentage
Mega Millions,Mega Ball,44,26,0.8971704623878536
Mega Millions,Mega Ball,22,86,2.9675638371290542
Mega Millions,Mega Ball,28,24,0.8281573498964804
Mega Millions,Mega Ball,30,35,1.2077294685990339
Mega Millions,Mega Ball,48,4,0.13802622498274672
Mega Millions,Mega Ball,42,29,1.000690131124914
Mega Millions,Mega Ball,40,24,0.8281573498964804
Mega Millions,Mega Ball,33,36,1.2422360248447204
Mega Millions,Mega Ball,51,1,0.03450655624568668
Powerball,Main Numbers,18,260,1.7333333333333332
Powerball,Main Numbers,37,254,1.6933333333333336
Powerball,Main Numbers,44,267,1.78
Powerball,Main Numbers,50,163,1.0866666666666667
Powerball,Main Numbers,64,50,0.33333333333333337
Powerball,Main Numbers,1,268,1.7866666666666666
Powerball,Main Numbers,3,272,1.8133333333333335
Powerball,Main Numbers,28,290,1.9333333333333333
Powerball,Main Numbers,57,97,0.6466666666666666
Powerball,Main Numbers,67,40,0.26666666666666666
Powerball,Main Numbers,17,284,1.8933333333333333
Powerball,Main Numbers,27,280,1.866666666666667
Powerball,Main Numbers,40,283,1.8866666666666667
Powerball,Main Numbers,53,156,1.04
Powerball,Main Numbers,5,273,1.82
Powerball,Main Numbers,23,298,1.9866666666666668
Powerball,Main Numbers,25,256,1.7066666666666668
Powerball,Main Numbers,7,273,1.82
Powerball,Main Numbers,8,284,1.8933333333333333
Powerball,Main Numbers,11,278,1.8533333333333333
Powerball,Main Numbers,4,256,1.7066666666666668
Powerball,Main Numbers,30,262,1.7466666666666666
Powerball,Main Numbers,43,270,1.7999999999999998
Powerball,Main Numbers,46,186,1.24
Powerball,Main Numbers,35,280,1.866666666666667
Powerball,Main Numbers,6,274,1.8266666666666667
Powerball,Main Numbers,14,281,1.8733333333333335
Powerball,Main Numbers,20,282,1.8800000000000001
Powerball,Main Numbers,29,252,1.68
Powerball,Main Numbers,9,284,1.8933333333333333
Powerball,Main Numbers,19,283,1.8866666666666667
Powerball,Main Numbers,33,253,1.6866666666666665
Powerball,Main Numbers,38,265,1.7666666666666668
Powerball,Main Numbers,39,289,1.9266666666666667
Powerball,Main Numbers,10,287,1.913333333333333
Powerball,Main Numbers,26,298,1.9866666666666668
Powerball,Main Numbers,34,261,1.7399999999999998
Powerball,Main Numbers,45,287,1.913333333333333
Powerball,Main Numbers,61,51,0.33999999999999997
Powerball,Main Numbers,65,32,0.21333333333333335
Powerball,Main Numbers,36,284,1.8933333333333333
Powerball,Main Numbers,41,297,1.9800000000000002
Powerball,Main Numbers,51,145,0.9666666666666667
Powerball,Main Numbers,58,92,0.6133333333333334
Powerball,Main Numbers,12,284,1.8933333333333333
Powerball,Main Numbers,54,140,0.9333333333333335
Powerball,Main Numbers,52,164,1.0933333333333333
Powerball,Main Numbers,31,271,1.8066666666666669
Powerball,Main Numbers,2,275,1.8333333333333333
Powerball,Main Numbers,13,277,1.8466666666666667
Powerball,Main Numbers,42,290,1.9333333333333333
Powerball,Main Numbers,62,47,0.31333333333333335
Powerball,Main Numbers,55,127,0.8466666666666668
Powerball,Main Numbers,16,293,1.9533333333333334
Powerball,Main Numbers,49,218,1.4533333333333334
Powerball,Main Numbers,24,269,1.7933333333333332
Powerball,Main Numbers,15,284,1.8933333333333333
Powerball,Main Numbers,59,108,0.72
Powerball,Main Numbers,60,36,0.24
Powerball,Main Numbers,56,101,0.6733333333333333
Powerball,Main Numbers,21,262,1.7466666666666666
Powerball,Main Numbers,22,287,1.913333333333333
Powerball,Main Numbers,32,298,1.9866666666666668
Powerball,Main Numbers,48,215,1.4333333333333333
Powerball,Main Numbers,47,200,1.3333333333333335
Powerball,Main Numbers,63,45,0.3
Powerball,Main Numbers,68,44,0.29333333333333333
Powerball,Main Numbers,69,50,0.33333333333333337
Powerball,Main Numbers,66,38,0.2533333333333333
Powerball,Powerball,11,89,2.966666666666667
Powerball,Powerball,9,88,2.933333333333333
Powerball,Powerball,35,63,2.1
Powerball,Powerball,34,48,1.6
Powerball,Powerball,36,49,1.633333333333333
Powerball,Powerball,42,36,1.2
Powerball,Powerball,1,83,2.7666666666666666
Powerball,Powerball,6,96,3.2
Powerball,Powerball,7,71,2.3666666666666667
Powerball,Powerball,14,81,2.7
Powerball,Powerball,24,92,3.0666666666666664
Powerball,Powerball,22,73,2.433333333333333
Powerball,Powerball,26,88,2.933333333333333
Powerball,Powerball,3,76,2.533333333333333
Powerball,Powerball,33,66,2.1999999999999997
Powerball,Powerball,12,82,2.7333333333333334
Powerball,Powerball,25,77,2.566666666666667
Powerball,Powerball,30,50,1.6666666666666667
Powerball,Powerball,18,96,3.2
Powerball,Powerball,31,62,2.0666666666666664
Powerball,Powerball,10,84,2.8000000000000003
Powerball,Powerball,28,54,1.7999999999999998
Powerball,Powerball,4,71,2.3666666666666667
Powerball,Powerball,29,72,2.4
Powerball,Powerball,13,86,2.8666666666666667
Powerball,Powerball,15,78,2.6
Powerball,Powerball,17,79,2.6333333333333333
Powerball,Powerball,23,80,2.666666666666667
Powerball,Powerball,20,96,3.2
Powerball,Powerball,21,80,2.666666666666667
Powerball,Powerball,32,50,1.6666666666666667
Powerball,Powerball,16,69,2.3
Powerball,Powerball,19,83,2.7666666666666666
Powerball,Powerball,8,81,2.7
Powerball,Powerball,5,75,2.5
Powerball,Powerball,27,55,1.8333333333333333
Powerball,Powerball,38,40,1.3333333333333335
Powerball,Powerball,37,68,2.2666666666666666
Powerball,Powerball,45,13,0.4333333333333333
Powerball,Powerball,40,33,1.0999999999999999
Powerball,Powerball,41,29,0.9666666666666667
Powerball,Powerball,43,14,0.46666666666666673
Powerball,Powerball,39,44,1.4666666666666666
Powerball,Powerball,2,86,2.8666666666666667
Powerball,Powerball,44,14,0.46666666666666673
