Lottery,Total Draws,Main Numbers Range,Special Ball Range,Main Numbers Coverage (%),Special Ball Coverage (%)
Mega Millions,2898,1-70,1-25,107.14285714285714,208.0
Powerball,3000,1-69,1-26,100.0,173.0769230769231
