Number,Frequency
28,145
48,124
55,131
60,76
62,94
10,137
11,142
34,118
59,142
68,87
7,131
18,127
22,137
50,127
65,72
6,131
21,150
49,121
4,124
44,139
47,142
52,139
57,128
3,136
16,133
45,145
54,143
56,128
32,152
36,154
2,131
17,135
29,119
43,122
23,151
19,139
27,144
30,133
12,147
37,136
61,106
8,130
31,132
33,144
38,134
40,135
53,134
15,121
66,85
5,124
14,133
35,116
64,97
69,100
41,136
58,128
39,157
1,134
20,137
46,116
67,89
26,114
9,132
51,122
42,120
13,119
25,119
24,132
63,97
